pricelog,host_is_superhost,host_listings_count,host_has_profile_pic,host_identity_verified,Distance_km,accommodation_type_1,accommodation_type_2,entire_home_apt,private_room,accommodates,bathrooms,bedrooms,Real_bed,Wireless_Internet,Breakfast,Free_Parking,instant_bookable,cancellation_policy,Smoking_Allowed,require_guest_profile_picture,require_guest_phone_verification,Reviews_per_years,review_scores_rating
5.220355825078324,0.0,1.0,1.0,0.0,2.42,1,0,1,0,5,1.0,3.0,1,1,0,0,0,1,0,1,1,2.759924386,94.0
4.174387269895637,0.0,1.0,1.0,0.0,2.42,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,0.907960199,100.0
3.6888794541139363,1.0,2.0,1.0,1.0,2.64,1,0,1,0,4,1.0,1.0,1,0,0,0,0,1,0,0,0,0.99726776,100.0
3.8918202981106265,0.0,1.0,1.0,0.0,2.19,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,3.288288288,100.0
4.867534450455582,0.0,1.0,1.0,0.0,2.33,1,0,1,0,5,2.0,2.0,1,1,0,0,0,1,0,0,0,0.383403361,100.0
4.382026634673881,0.0,1.0,1.0,1.0,2.3,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,6.424642464,95.0
4.74493212836325,0.0,1.0,1.0,1.0,0.32,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,4.831528279,94.0
4.700480365792417,0.0,3.0,1.0,1.0,2.03,0,0,1,0,4,1.0,1.0,1,1,0,0,0,0,0,0,0,1.543340381,95.0
3.8066624897703196,0.0,2.0,1.0,1.0,2.14,1,0,1,0,2,1.0,1.0,1,1,1,0,0,1,0,0,0,1.226203807,93.0
4.007333185232471,0.0,1.0,1.0,1.0,2.73,1,0,1,0,3,1.0,1.0,1,1,0,0,1,1,0,0,0,24.60947931,88.0
4.605170185988092,0.0,1.0,1.0,0.0,1.8,1,0,1,0,4,1.5,1.0,1,1,0,1,0,1,0,0,0,3.353751914,90.0
4.653960350157523,0.0,1.0,1.0,0.0,0.6,1,0,1,0,4,1.0,2.0,1,1,0,0,1,1,1,0,0,1.158730159,90.0
4.90527477843843,0.0,4.0,1.0,0.0,1.68,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,5.955710956,96.0
4.248495242049359,0.0,1.0,1.0,1.0,2.43,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,0,0,0,3.819133034,100.0
4.382026634673881,0.0,1.0,1.0,1.0,2.82,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,1,0,0,5.038343558,87.0
4.1588830833596715,0.0,1.0,1.0,1.0,2.76,1,0,1,0,2,1.0,1.0,0,1,0,0,0,0,0,0,0,14.14206642,97.0
4.9344739331306915,0.0,1.0,1.0,0.0,1.6,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,0,0,0,11.52631579,83.0
4.127134385045092,0.0,1.0,1.0,0.0,2.39,1,0,1,0,2,1.0,1.0,0,0,0,0,0,1,0,0,0,1.185064935,80.0
4.499809670330265,0.0,1.0,1.0,0.0,0.42,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,1,0,0,6.806526807,93.0
4.867534450455582,0.0,1.0,1.0,1.0,0.75,1,0,1,0,5,1.0,2.0,1,1,0,0,0,1,0,0,0,1.908496732,100.0
4.499809670330265,0.0,1.0,1.0,0.0,2.55,1,0,1,0,4,1.0,2.0,0,0,0,0,1,1,0,0,0,2.903739061,98.0
4.382026634673881,0.0,1.0,1.0,1.0,2.16,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,1,0,0,3.086680761,90.0
3.6888794541139363,0.0,2.0,1.0,0.0,3.25,1,0,0,1,2,1.0,1.0,1,1,0,0,0,0,0,0,0,3.851113716,96.0
4.762173934797756,0.0,2.0,1.0,0.0,0.91,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,1,3.549955791,91.0
4.553876891600541,0.0,2.0,1.0,0.0,1.69,1,0,1,0,6,1.0,2.0,1,1,0,0,1,1,0,0,0,2.556917688,85.0
4.204692619390966,0.0,1.0,1.0,1.0,2.52,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,0,0,0,1.102719033,90.0
4.499809670330265,0.0,1.0,1.0,0.0,2.48,1,0,1,0,4,1.0,2.0,1,1,0,0,0,0,0,0,0,1.041864891,100.0
4.127134385045092,0.0,1.0,1.0,1.0,1.16,1,0,1,0,2,1.0,0.0,1,1,0,0,1,1,0,0,0,2.92,100.0
3.912023005428146,0.0,1.0,1.0,1.0,3.11,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,3.011551155,95.0
4.3694478524670215,0.0,1.0,1.0,1.0,1.99,1,0,1,0,2,1.0,0.0,1,1,0,0,0,1,1,0,0,46.51960784,92.0
3.8066624897703196,0.0,1.0,1.0,1.0,0.41,1,0,0,1,1,1.0,1.0,1,1,0,0,0,1,0,0,0,4.235976789,85.0
3.713572066704308,0.0,2.0,1.0,1.0,2.05,1,0,0,1,2,1.0,1.0,0,1,0,0,0,1,0,0,0,4.609644087,100.0
4.762173934797756,0.0,1.0,1.0,0.0,0.75,1,0,1,0,4,1.0,2.0,1,1,0,0,0,1,1,0,0,7.227722772,90.0
4.007333185232471,0.0,1.0,1.0,1.0,3.16,1,0,1,0,2,1.0,0.0,1,1,0,0,0,1,0,0,0,8.722426471,90.0
4.174387269895637,0.0,1.0,1.0,0.0,3.07,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,1,0,0,1.300475059,87.0
5.0106352940962555,0.0,1.0,1.0,0.0,3.16,1,0,1,0,6,2.0,3.0,1,1,0,0,0,1,0,0,0,2.322375398,97.0
3.7376696182833684,0.0,1.0,1.0,0.0,2.98,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,9.087136929,92.0
4.605170185988092,0.0,1.0,1.0,1.0,2.41,1,0,1,0,2,1.0,1.0,1,0,0,0,0,0,0,0,0,0.502754821,100.0
4.07753744390572,0.0,2.0,1.0,1.0,2.92,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,4.25124792,100.0
4.0943445622221,0.0,1.0,1.0,1.0,2.73,1,0,1,0,2,1.0,1.0,1,1,1,0,0,1,0,0,0,1.356877323,67.0
4.248495242049359,0.0,1.0,1.0,0.0,0.73,1,0,1,0,2,1.0,0.0,0,1,0,0,0,1,0,0,0,15.98540146,96.0
4.02535169073515,0.0,1.0,1.0,1.0,3.19,1,0,1,0,3,1.0,1.0,1,1,0,0,0,1,0,0,0,16.25,88.0
4.442651256490317,0.0,1.0,1.0,0.0,1.95,1,0,1,0,6,1.0,0.0,1,1,0,0,0,0,1,0,0,1.834170854,80.0
4.700480365792417,0.0,1.0,1.0,1.0,0.88,1,0,1,0,2,1.0,1.0,1,1,0,0,0,0,0,0,0,15.98540146,100.0
4.0943445622221,0.0,1.0,1.0,1.0,1.91,1,0,1,0,6,1.0,2.0,1,1,0,0,0,0,1,0,0,28.60501567,70.0
4.174387269895637,0.0,4.0,1.0,0.0,1.73,1,0,1,0,3,1.0,1.0,1,0,0,0,0,0,0,1,1,3.329532497,83.0
4.499809670330265,1.0,1.0,1.0,0.0,0.74,1,0,1,0,3,1.0,1.0,1,1,1,0,1,0,0,0,0,21.81609195,98.0
3.912023005428146,0.0,1.0,1.0,0.0,2.66,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,11.68445122,78.0
3.9512437185814275,0.0,1.0,1.0,0.0,1.88,1,0,1,0,2,1.0,1.0,1,0,0,0,0,1,1,0,0,6.91943128,100.0
3.8066624897703196,0.0,2.0,1.0,1.0,2.65,1,0,0,1,2,1.0,1.0,1,1,0,0,0,0,1,0,0,4.211538462,100.0
4.007333185232471,0.0,1.0,1.0,0.0,0.75,1,0,1,0,2,1.0,0.0,1,0,0,0,0,1,0,0,0,8.081180812,80.0
4.553876891600541,0.0,1.0,1.0,0.0,2.76,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,1,0,0,5.227272727,88.0
4.007333185232471,0.0,25.0,1.0,0.0,1.0,1,0,1,0,2,1.0,0.0,0,1,0,0,1,1,0,0,0,67.38461538,87.0
4.382026634673881,0.0,53.0,1.0,1.0,2.93,1,0,1,0,4,1.0,1.0,1,1,0,0,0,1,0,0,0,0.581210191,80.0
4.248495242049359,0.0,1.0,1.0,0.0,1.58,1,0,1,0,2,1.0,1.0,1,1,0,1,0,1,0,0,0,2.027777778,80.0
4.59511985013459,0.0,1.0,1.0,1.0,1.05,1,0,1,0,2,1.0,1.0,1,1,0,0,0,1,1,0,0,3.448043185,94.0
